"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.336308000E-1,7.178468257E-2,5.874379873E-1,9.878170013E0,9.895881934E0
7.360917900E-1,6.939185411E-2,5.994020700E-1,9.981360435E0,9.999582702E0
7.385529360E-1,7.178468257E-2,6.400800347E-1,9.892526627E0,9.913472578E0
7.410139770E-1,5.742774159E-2,6.448656917E-1,9.832706451E0,9.853997456E0
7.434750710E-1,4.785645381E-2,6.113662124E-1,9.866206169E0,9.885245726E0
7.459361130E-1,6.939185411E-2,6.376872063E-1,9.856635094E0,9.877485286E0
7.483971540E-1,7.178468257E-2,6.329016089E-1,9.926325798E0,9.946741242E0
7.508580920E-1,7.657032460E-2,6.113662124E-1,9.945467949E0,9.964535332E0
7.533191330E-1,4.307080805E-2,6.137589812E-1,9.911669731E0,9.930747809E0
7.557802270E-1,5.264209956E-2,6.161518097E-1,9.904491425E0,9.923777739E0
7.582412690E-1,9.810572863E-2,6.568298340E-1,9.875777245E0,9.898081953E0
7.607023630E-1,4.546362907E-2,6.472585201E-1,9.861420631E0,9.882743921E0
7.631634560E-1,2.392822690E-2,6.352944374E-1,9.959825516E0,9.980094984E0
7.656245500E-1,4.307080805E-2,6.329016089E-1,9.890133858E0,9.910457470E0
7.680855920E-1,9.810572863E-2,6.424728632E-1,9.827920914E0,9.849387067E0
7.705466330E-1,1.196411327E-1,6.376872063E-1,9.911669731E0,9.932882554E0
7.730077270E-1,7.178468257E-2,6.233302951E-1,9.911669731E0,9.931509984E0
7.754687690E-1,8.614161611E-2,6.544370055E-1,9.909276962E0,9.931237490E0
7.779298630E-1,5.742774159E-2,6.161518097E-1,9.894919395E0,9.914250897E0
7.803935080E-1,4.067798331E-2,6.113662124E-1,9.906884193E0,9.925813708E0
7.828545500E-1,1.674975827E-2,6.424728632E-1,9.880562782E0,9.901442967E0
7.853156440E-1,5.742774159E-2,6.161518097E-1,9.882955551E0,9.902310408E0
7.877766860E-1,9.571290761E-2,6.281159520E-1,9.904491425E0,9.924849671E0
7.902377790E-1,6.699903309E-2,6.089733839E-1,9.885348320E0,9.904314659E0
7.926988730E-1,7.896314561E-2,6.137589812E-1,9.933504105E0,9.952760374E0
7.951599150E-1,7.178468257E-2,6.233302951E-1,9.875777245E0,9.895689460E0
7.976210080E-1,6.460621208E-2,6.305087805E-1,9.844670296E0,9.865051876E0
